# Observation File: surface_flux-cycle.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-flux-cycle
# Region: surface outlet
# Functional: extensive integral
# Variable: surface_star-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface-flux-cycle"
1.000000000000e+00 0.000000000000e+00
2.000000000000e+00 0.000000000000e+00
3.000000000000e+00 0.000000000000e+00
4.250000000000e+00 0.000000000000e+00
5.812500000000e+00 0.000000000000e+00
8.253906250000e+00 0.000000000000e+00
1.302227783203e+01 0.000000000000e+00
2.466381001472e+01 0.000000000000e+00
6.019094680273e+01 0.000000000000e+00
1.957162183634e+02 0.000000000000e+00
8.419510719205e+02 0.000000000000e+00
4.693810960695e+03 0.000000000000e+00
3.339240351007e+04 0.000000000000e+00
4.320000000000e+04 0.000000000000e+00
5.754929627469e+04 0.000000000000e+00
7.189859254937e+04 0.000000000000e+00
7.914929627469e+04 0.000000000000e+00
8.640000000000e+04 0.000000000000e+00
1.007492962747e+05 0.000000000000e+00
1.186859166180e+05 0.000000000000e+00
1.296000000000e+05 0.000000000000e+00
1.576259692865e+05 0.000000000000e+00
1.728000000000e+05 0.000000000000e+00
2.160000000000e+05 0.000000000000e+00
2.592000000000e+05 0.000000000000e+00
3.024000000000e+05 0.000000000000e+00
3.456000000000e+05 0.000000000000e+00
3.888000000000e+05 0.000000000000e+00
4.320000000000e+05 0.000000000000e+00
4.752000000000e+05 0.000000000000e+00
5.184000000000e+05 0.000000000000e+00
5.616000000000e+05 0.000000000000e+00
6.048000000000e+05 0.000000000000e+00
6.480000000000e+05 0.000000000000e+00
6.912000000000e+05 0.000000000000e+00
7.344000000000e+05 0.000000000000e+00
7.776000000000e+05 0.000000000000e+00
8.208000000000e+05 0.000000000000e+00
8.640000000000e+05 0.000000000000e+00
9.072000000000e+05 0.000000000000e+00
9.504000000000e+05 0.000000000000e+00
9.936000000000e+05 0.000000000000e+00
1.036800000000e+06 0.000000000000e+00
1.080000000000e+06 0.000000000000e+00
1.123200000000e+06 0.000000000000e+00
1.166400000000e+06 0.000000000000e+00
1.209600000000e+06 0.000000000000e+00
1.252800000000e+06 0.000000000000e+00
1.296000000000e+06 0.000000000000e+00
1.339200000000e+06 0.000000000000e+00
1.382400000000e+06 0.000000000000e+00
1.425600000000e+06 0.000000000000e+00
1.468800000000e+06 0.000000000000e+00
1.512000000000e+06 0.000000000000e+00
1.555200000000e+06 0.000000000000e+00
1.598400000000e+06 0.000000000000e+00
1.641600000000e+06 0.000000000000e+00
1.684800000000e+06 0.000000000000e+00
1.728000000000e+06 0.000000000000e+00
1.771200000000e+06 0.000000000000e+00
1.814400000000e+06 0.000000000000e+00
1.857600000000e+06 0.000000000000e+00
1.900800000000e+06 0.000000000000e+00
1.944000000000e+06 0.000000000000e+00
1.987200000000e+06 0.000000000000e+00
2.030400000000e+06 0.000000000000e+00
2.073600000000e+06 0.000000000000e+00
2.116800000000e+06 0.000000000000e+00
2.160000000000e+06 0.000000000000e+00
2.203200000000e+06 0.000000000000e+00
2.246400000000e+06 0.000000000000e+00
2.289600000000e+06 0.000000000000e+00
2.332800000000e+06 0.000000000000e+00
2.376000000000e+06 0.000000000000e+00
2.419200000000e+06 0.000000000000e+00
2.462400000000e+06 0.000000000000e+00
2.505600000000e+06 0.000000000000e+00
2.548800000000e+06 0.000000000000e+00
2.592000000000e+06 0.000000000000e+00
2.635200000000e+06 0.000000000000e+00
2.678400000000e+06 0.000000000000e+00
2.721600000000e+06 0.000000000000e+00
2.764800000000e+06 0.000000000000e+00
2.808000000000e+06 0.000000000000e+00
2.851200000000e+06 0.000000000000e+00
2.894400000000e+06 0.000000000000e+00
2.937600000000e+06 0.000000000000e+00
2.980800000000e+06 0.000000000000e+00
3.024000000000e+06 0.000000000000e+00
3.067200000000e+06 0.000000000000e+00
3.110400000000e+06 0.000000000000e+00
3.153600000000e+06 0.000000000000e+00
3.196800000000e+06 0.000000000000e+00
3.240000000000e+06 0.000000000000e+00
3.283200000000e+06 0.000000000000e+00
3.326400000000e+06 0.000000000000e+00
3.369600000000e+06 0.000000000000e+00
3.412800000000e+06 0.000000000000e+00
3.456000000000e+06 0.000000000000e+00
3.499200000000e+06 0.000000000000e+00
3.542400000000e+06 0.000000000000e+00
3.585600000000e+06 0.000000000000e+00
3.628800000000e+06 0.000000000000e+00
3.672000000000e+06 0.000000000000e+00
3.715200000000e+06 0.000000000000e+00
3.758400000000e+06 0.000000000000e+00
3.801600000000e+06 0.000000000000e+00
3.844800000000e+06 0.000000000000e+00
3.888000000000e+06 0.000000000000e+00
3.931200000000e+06 0.000000000000e+00
3.974400000000e+06 0.000000000000e+00
4.017600000000e+06 0.000000000000e+00
4.060800000000e+06 0.000000000000e+00
4.104000000000e+06 0.000000000000e+00
4.147200000000e+06 0.000000000000e+00
4.190400000000e+06 0.000000000000e+00
4.233600000000e+06 0.000000000000e+00
4.276800000000e+06 0.000000000000e+00
4.320000000000e+06 0.000000000000e+00
4.363200000000e+06 0.000000000000e+00
4.406400000000e+06 0.000000000000e+00
4.449600000000e+06 0.000000000000e+00
4.492800000000e+06 0.000000000000e+00
4.536000000000e+06 0.000000000000e+00
4.579200000000e+06 0.000000000000e+00
4.622400000000e+06 0.000000000000e+00
4.665600000000e+06 0.000000000000e+00
4.708800000000e+06 0.000000000000e+00
4.752000000000e+06 0.000000000000e+00
4.795200000000e+06 0.000000000000e+00
4.838400000000e+06 0.000000000000e+00
4.881600000000e+06 0.000000000000e+00
4.924800000000e+06 0.000000000000e+00
4.968000000000e+06 0.000000000000e+00
5.011200000000e+06 0.000000000000e+00
5.054400000000e+06 0.000000000000e+00
5.097600000000e+06 0.000000000000e+00
5.140800000000e+06 0.000000000000e+00
5.184000000000e+06 0.000000000000e+00
5.227200000000e+06 0.000000000000e+00
5.270400000000e+06 0.000000000000e+00
5.313600000000e+06 0.000000000000e+00
5.356800000000e+06 0.000000000000e+00
5.400000000000e+06 0.000000000000e+00
5.443200000000e+06 0.000000000000e+00
5.486400000000e+06 0.000000000000e+00
5.529600000000e+06 0.000000000000e+00
5.572800000000e+06 0.000000000000e+00
5.616000000000e+06 0.000000000000e+00
5.659200000000e+06 0.000000000000e+00
5.702400000000e+06 0.000000000000e+00
5.745600000000e+06 0.000000000000e+00
5.788800000000e+06 0.000000000000e+00
5.832000000000e+06 0.000000000000e+00
5.875200000000e+06 0.000000000000e+00
5.918400000000e+06 0.000000000000e+00
5.961600000000e+06 0.000000000000e+00
6.004800000000e+06 0.000000000000e+00
6.048000000000e+06 0.000000000000e+00
6.091200000000e+06 0.000000000000e+00
6.134400000000e+06 0.000000000000e+00
6.177600000000e+06 0.000000000000e+00
6.220800000000e+06 0.000000000000e+00
6.264000000000e+06 0.000000000000e+00
6.307200000000e+06 0.000000000000e+00
6.350400000000e+06 0.000000000000e+00
6.393600000000e+06 0.000000000000e+00
6.436800000000e+06 0.000000000000e+00
6.480000000000e+06 0.000000000000e+00
6.523200000000e+06 0.000000000000e+00
6.566400000000e+06 0.000000000000e+00
6.609600000000e+06 0.000000000000e+00
6.652800000000e+06 0.000000000000e+00
6.696000000000e+06 0.000000000000e+00
6.739200000000e+06 0.000000000000e+00
6.782400000000e+06 0.000000000000e+00
6.825600000000e+06 0.000000000000e+00
6.868800000000e+06 0.000000000000e+00
6.912000000000e+06 0.000000000000e+00
6.955200000000e+06 0.000000000000e+00
6.998400000000e+06 0.000000000000e+00
7.041600000000e+06 0.000000000000e+00
7.084800000000e+06 0.000000000000e+00
7.128000000000e+06 0.000000000000e+00
7.171200000000e+06 0.000000000000e+00
7.214400000000e+06 0.000000000000e+00
7.257600000000e+06 0.000000000000e+00
7.300800000000e+06 0.000000000000e+00
7.344000000000e+06 0.000000000000e+00
7.387200000000e+06 0.000000000000e+00
7.430400000000e+06 0.000000000000e+00
7.473600000000e+06 0.000000000000e+00
7.516800000000e+06 0.000000000000e+00
7.560000000000e+06 0.000000000000e+00
7.603200000000e+06 0.000000000000e+00
7.646400000000e+06 0.000000000000e+00
7.689600000000e+06 0.000000000000e+00
7.732800000000e+06 0.000000000000e+00
7.776000000000e+06 0.000000000000e+00
7.819200000000e+06 0.000000000000e+00
7.862400000000e+06 0.000000000000e+00
7.905600000000e+06 0.000000000000e+00
7.948800000000e+06 0.000000000000e+00
7.992000000000e+06 0.000000000000e+00
8.035200000000e+06 0.000000000000e+00
8.078400000000e+06 0.000000000000e+00
8.121600000000e+06 0.000000000000e+00
8.164800000000e+06 0.000000000000e+00
8.208000000000e+06 0.000000000000e+00
8.251200000000e+06 0.000000000000e+00
8.294400000000e+06 0.000000000000e+00
8.337600000000e+06 0.000000000000e+00
8.380800000000e+06 0.000000000000e+00
8.424000000000e+06 0.000000000000e+00
8.467200000000e+06 0.000000000000e+00
8.510400000000e+06 0.000000000000e+00
8.553600000000e+06 0.000000000000e+00
8.596800000000e+06 0.000000000000e+00
8.640000000000e+06 0.000000000000e+00
8.683200000000e+06 0.000000000000e+00
8.726400000000e+06 0.000000000000e+00
8.769600000000e+06 0.000000000000e+00
8.812800000000e+06 0.000000000000e+00
8.856000000000e+06 0.000000000000e+00
8.899200000000e+06 0.000000000000e+00
8.942400000000e+06 0.000000000000e+00
8.985600000000e+06 0.000000000000e+00
9.028800000000e+06 0.000000000000e+00
9.072000000000e+06 0.000000000000e+00
9.115200000000e+06 0.000000000000e+00
9.158400000000e+06 0.000000000000e+00
9.201600000000e+06 0.000000000000e+00
9.244800000000e+06 0.000000000000e+00
9.288000000000e+06 0.000000000000e+00
9.331200000000e+06 0.000000000000e+00
9.374400000000e+06 0.000000000000e+00
9.417600000000e+06 0.000000000000e+00
9.460800000000e+06 0.000000000000e+00
9.504000000000e+06 0.000000000000e+00
9.547200000000e+06 0.000000000000e+00
9.590400000000e+06 0.000000000000e+00
9.633600000000e+06 0.000000000000e+00
9.676800000000e+06 0.000000000000e+00
9.720000000000e+06 0.000000000000e+00
9.763200000000e+06 0.000000000000e+00
