# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Functional: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface outlet flux"
0.000000000000e+00 0.000000000000e+00
6.000000000000e+01 0.000000000000e+00
1.200000000000e+02 0.000000000000e+00
1.800000000000e+02 0.000000000000e+00
2.400000000000e+02 0.000000000000e+00
3.000000000000e+02 0.000000000000e+00
3.600000000000e+02 0.000000000000e+00
4.200000000000e+02 0.000000000000e+00
4.800000000000e+02 0.000000000000e+00
5.400000000000e+02 0.000000000000e+00
6.000000000000e+02 0.000000000000e+00
6.600000000000e+02 0.000000000000e+00
7.200000000000e+02 0.000000000000e+00
7.800000000000e+02 0.000000000000e+00
8.400000000000e+02 0.000000000000e+00
9.000000000000e+02 0.000000000000e+00
9.600000000000e+02 0.000000000000e+00
1.020000000000e+03 0.000000000000e+00
1.080000000000e+03 0.000000000000e+00
1.140000000000e+03 0.000000000000e+00
1.200000000000e+03 0.000000000000e+00
1.260000000000e+03 0.000000000000e+00
1.320000000000e+03 0.000000000000e+00
1.380000000000e+03 0.000000000000e+00
1.440000000000e+03 0.000000000000e+00
1.500000000000e+03 0.000000000000e+00
1.560000000000e+03 0.000000000000e+00
1.620000000000e+03 0.000000000000e+00
1.680000000000e+03 0.000000000000e+00
1.740000000000e+03 0.000000000000e+00
1.800000000000e+03 0.000000000000e+00
1.860000000000e+03 0.000000000000e+00
1.920000000000e+03 0.000000000000e+00
1.980000000000e+03 0.000000000000e+00
2.040000000000e+03 0.000000000000e+00
2.100000000000e+03 0.000000000000e+00
2.160000000000e+03 0.000000000000e+00
2.220000000000e+03 0.000000000000e+00
2.280000000000e+03 0.000000000000e+00
2.340000000000e+03 0.000000000000e+00
2.400000000000e+03 0.000000000000e+00
2.460000000000e+03 1.918122548388e-01
2.520000000000e+03 1.243871058768e+00
2.580000000000e+03 3.819638392244e+00
2.640000000000e+03 8.484959306090e+00
2.700000000000e+03 1.569733922696e+01
2.760000000000e+03 2.580120805601e+01
2.820000000000e+03 3.902859771551e+01
2.880000000000e+03 5.550456605754e+01
2.940000000000e+03 7.525644299075e+01
3.000000000000e+03 9.822589183844e+01
3.060000000000e+03 1.242827543350e+02
3.120000000000e+03 1.532397146480e+02
3.180000000000e+03 1.848669418550e+02
3.240000000000e+03 2.189060315309e+02
3.300000000000e+03 2.550827286884e+02
3.360000000000e+03 2.931181135325e+02
3.420000000000e+03 3.327380504727e+02
3.480000000000e+03 3.736808385836e+02
3.540000000000e+03 4.157031347087e+02
3.600000000000e+03 4.585842223942e+02
3.660000000000e+03 5.021288507533e+02
3.720000000000e+03 5.461687868731e+02
3.780000000000e+03 5.905633033766e+02
3.840000000000e+03 6.351987938297e+02
3.900000000000e+03 6.799877001477e+02
3.960000000000e+03 7.248669186020e+02
4.020000000000e+03 7.697958310331e+02
4.080000000000e+03 8.147540871906e+02
4.140000000000e+03 8.597392440815e+02
4.200000000000e+03 9.047643495441e+02
4.260000000000e+03 9.498555402431e+02
4.320000000000e+03 9.950497092271e+02
4.380000000000e+03 1.040392284850e+03
4.440000000000e+03 1.085935151411e+03
4.500000000000e+03 1.131734732018e+03
4.560000000000e+03 1.177850245872e+03
4.620000000000e+03 1.224342145396e+03
4.680000000000e+03 1.271270733156e+03
4.740000000000e+03 1.318694953899e+03
4.800000000000e+03 1.366671351254e+03
4.860000000000e+03 1.415253201334e+03
4.920000000000e+03 1.464489755045e+03
4.980000000000e+03 1.514425634580e+03
5.040000000000e+03 1.565100388817e+03
5.100000000000e+03 1.616548096440e+03
5.160000000000e+03 1.668797105491e+03
5.220000000000e+03 1.721869853509e+03
5.280000000000e+03 1.775782766489e+03
5.340000000000e+03 1.830546227799e+03
