# Observation File: surface-outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: surface outlet
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 6
# =============================================================================
"time [s]" "surface-component_concentration DOM1" "surface-component_concentration O2(aq)" "surface-component_concentration NO3-" "surface-component_concentration HCO3-" "surface-component_concentration H+" "surface-component_concentration N2(aq)"
8.200000000000e+02 9.480547356933e-05 2.538734348282e-04 1.923272100444e-06 2.035036669997e-05 1.538129525504e-05 2.553361392375e-02
8.400000000000e+02 9.465971600811e-05 2.535937788927e-04 1.921651557328e-06 2.039918857591e-05 1.543429840616e-05 2.551212024681e-02
8.600000000000e+02 9.451281256515e-05 2.533132249896e-04 1.920033974678e-06 2.044933580411e-05 1.548861912938e-05 2.549066636030e-02
8.800000000000e+02 9.436478393242e-05 2.530317931422e-04 1.918419344723e-06 2.050078721117e-05 1.554423627240e-05 2.546925215717e-02
9.000000000000e+02 9.421565179889e-05 2.527495043821e-04 1.916807659866e-06 2.055352063523e-05 1.560112769419e-05 2.544787753223e-02
9.200000000000e+02 9.406543892309e-05 2.524663808210e-04 1.915198912684e-06 2.060751285294e-05 1.565927019187e-05 2.542654238203e-02
9.400000000000e+02 9.391416918951e-05 2.521824457271e-04 1.913593095911e-06 2.066273950092e-05 1.571863942230e-05 2.540524660469e-02
9.600000000000e+02 9.376186772706e-05 2.518977236040e-04 1.911990202438e-06 2.071917499615e-05 1.577920982244e-05 2.538399009978e-02
9.800000000000e+02 9.360856097553e-05 2.516122402740e-04 1.910390225297e-06 2.077679245032e-05 1.584095452380e-05 2.536277276808e-02
1.000000000000e+03 9.345427677320e-05 2.513260229634e-04 1.908793157655e-06 2.083556358270e-05 1.590384526529e-05 2.534159451149e-02
1.020000000000e+03 9.329904444346e-05 2.510391003893e-04 1.907198992807e-06 2.089545863162e-05 1.596785230478e-05 2.532045523281e-02
1.040000000000e+03 9.314289488174e-05 2.507515028457e-04 1.905607724168e-06 2.095644626690e-05 1.603294433153e-05 2.529935483565e-02
1.060000000000e+03 9.298586063928e-05 2.504632622865e-04 1.904019345265e-06 2.101849350554e-05 1.609908838189e-05 2.527829322425e-02
1.080000000000e+03 9.282797600022e-05 2.501744124016e-04 1.902433849738e-06 2.108156563411e-05 1.616624976178e-05 2.525727030343e-02
1.100000000000e+03 9.266927704790e-05 2.498849886833e-04 1.900851231333e-06 2.114562614209e-05 1.623439198000e-05 2.523628597847e-02
1.120000000000e+03 9.250980171514e-05 2.495950284757e-04 1.899271483905e-06 2.121063667148e-05 1.630347669784e-05 2.521534015507e-02
1.140000000000e+03 9.234958981205e-05 2.493045710029e-04 1.897694601416e-06 2.127655698892e-05 1.637346370125e-05 2.519443273939e-02
1.160000000000e+03 9.218868302434e-05 2.490136573679e-04 1.896120577946e-06 2.134334498780e-05 1.644431090288e-05 2.517356363809e-02
1.180000000000e+03 9.202712487310e-05 2.487223305138e-04 1.894549407704e-06 2.141095672830e-05 1.651597438212e-05 2.515273275851e-02
1.200000000000e+03 9.186496063109e-05 2.484306351403e-04 1.892981085045e-06 2.147934652399e-05 1.658840847169e-05 2.513194000894e-02
1.220000000000e+03 9.170223718255e-05 2.481386175672e-04 1.891415604497e-06 2.154846708310e-05 1.666156589870e-05 2.511118529901e-02
1.240000000000e+03 9.153900282299e-05 2.478463255372e-04 1.889852960799e-06 2.161826971121e-05 1.673539798735e-05 2.509046854026e-02
