# Observation Name: ANONYMOUS->observations->total_transpiration
# Region: surface domain
# Functional: observation data: point
# Variable: surface-total_transpiration
# ===========================================================
#
0.0000000000000000e+00  4.7047064023141124e-08
8.6400000000000000e+04  4.7047064023141124e-08
1.7280000000000000e+05  4.7047064023141124e-08
2.5920000000000000e+05  4.7047064023141124e-08
3.4560000000000000e+05  4.7047064023141124e-08
4.3200000000000000e+05  4.7040145200817549e-08
5.1840000000000000e+05  4.6924049367799682e-08
6.0480000000000000e+05  4.6809425572299563e-08
6.9120000000000000e+05  4.6698196394690462e-08
7.7760000000000000e+05  4.6592383328503872e-08
8.6400000000000000e+05  4.6444055258738016e-08
9.5040000000000000e+05  4.6305094251270332e-08
1.0368000000000000e+06  4.6193425417138284e-08
1.1232000000000000e+06  4.6087714820505123e-08
1.2096000000000000e+06  4.5984020753672754e-08
1.2960000000000000e+06  4.5882722146828554e-08
1.3824000000000000e+06  4.5813415223913396e-08
1.4688000000000000e+06  4.6103023006958273e-08
1.5552000000000000e+06  4.6338417363054446e-08
1.6416000000000000e+06  4.6388826675800297e-08
1.7280000000000000e+06  4.6357397436151989e-08
1.8144000000000000e+06  4.6277841367029671e-08
1.9008000000000000e+06  4.6168725455174657e-08
1.9872000000000000e+06  4.6041242891957311e-08
2.0736000000000000e+06  4.5903087509307970e-08
2.1600000000000000e+06  4.5760173108712933e-08
2.2464000000000000e+06  4.3877683885834202e-08
2.3328000000000000e+06  4.1764042493560529e-08
2.4192000000000000e+06  4.0264297731415466e-08
2.5056000000000000e+06  3.8728475822114254e-08
2.5920000000000000e+06  3.6344136839252541e-08
