# Observation Name: ANONYMOUS->observations->water_content
# Region: computational domain
# Functional: observation data: extensive integral
# Variable: water_content
# ===========================================================
#
0.0000000000000000e+00  2.1009131366411218e+05
8.6400000000000000e+04  2.1129334761609611e+05
1.7280000000000000e+05  2.1106977993096545e+05
2.5920000000000000e+05  2.1084621231586067e+05
3.4560000000000000e+05  2.1062264466798317e+05
4.3200000000000000e+05  2.1039910975265838e+05
5.1840000000000000e+05  2.1017612651147865e+05
6.0480000000000000e+05  2.0995368818009360e+05
6.9120000000000000e+05  2.0973177806281217e+05
7.7760000000000000e+05  2.0951037093868543e+05
8.6400000000000000e+05  2.1071532064857514e+05
9.5040000000000000e+05  2.1049508308133075e+05
1.0368000000000000e+06  2.1027557234386026e+05
1.1232000000000000e+06  2.1005656352234512e+05
1.2096000000000000e+06  2.0983804713152640e+05
1.2960000000000000e+06  2.0962001218017112e+05
1.3824000000000000e+06  2.1082781700465595e+05
1.4688000000000000e+06  2.1060936485849417e+05
1.5552000000000000e+06  2.1038938842580942e+05
1.6416000000000000e+06  2.1016894872162741e+05
1.7280000000000000e+06  2.0994865893532569e+05
1.8144000000000000e+06  2.0972874608114580e+05
1.9008000000000000e+06  2.0950935177256935e+05
1.9872000000000000e+06  2.0929056330916390e+05
2.0736000000000000e+06  2.0907243140672927e+05
2.1600000000000000e+06  2.0885497867993079e+05
2.2464000000000000e+06  2.0864647193627749e+05
2.3328000000000000e+06  2.0844800985908715e+05
2.4192000000000000e+06  2.0825667387740590e+05
2.5056000000000000e+06  2.0807263616005646e+05
2.5920000000000000e+06  2.0789992884330623e+05
