# Observation File: surface_flux-cycle.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-flux-cycle
# Region: surface outlet
# Functional: extensive integral
# Variable: surface_star-mass_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface-flux-cycle"
0.000000000000e+00 0.000000000000e+00
4.320000000000e+04 0.000000000000e+00
8.640000000000e+04 0.000000000000e+00
1.296000000000e+05 0.000000000000e+00
1.836000000000e+05 0.000000000000e+00
2.160000000000e+05 0.000000000000e+00
2.592000000000e+05 0.000000000000e+00
3.024000000000e+05 0.000000000000e+00
3.888000000000e+05 0.000000000000e+00
4.752000000000e+05 0.000000000000e+00
5.616000000000e+05 0.000000000000e+00
6.480000000000e+05 0.000000000000e+00
7.344000000000e+05 0.000000000000e+00
8.208000000000e+05 0.000000000000e+00
9.072000000000e+05 0.000000000000e+00
9.936000000000e+05 0.000000000000e+00
1.080000000000e+06 0.000000000000e+00
1.166400000000e+06 0.000000000000e+00
1.252800000000e+06 0.000000000000e+00
1.339200000000e+06 0.000000000000e+00
1.425600000000e+06 0.000000000000e+00
1.512000000000e+06 0.000000000000e+00
1.598400000000e+06 0.000000000000e+00
1.684800000000e+06 0.000000000000e+00
1.771200000000e+06 0.000000000000e+00
1.857600000000e+06 0.000000000000e+00
1.944000000000e+06 0.000000000000e+00
2.030400000000e+06 0.000000000000e+00
2.116800000000e+06 0.000000000000e+00
2.203200000000e+06 0.000000000000e+00
2.289600000000e+06 0.000000000000e+00
2.376000000000e+06 0.000000000000e+00
2.462400000000e+06 0.000000000000e+00
2.548800000000e+06 0.000000000000e+00
2.635200000000e+06 0.000000000000e+00
2.721600000000e+06 0.000000000000e+00
2.808000000000e+06 0.000000000000e+00
2.894400000000e+06 0.000000000000e+00
2.980800000000e+06 0.000000000000e+00
3.067200000000e+06 0.000000000000e+00
3.153600000000e+06 0.000000000000e+00
3.240000000000e+06 0.000000000000e+00
3.326400000000e+06 0.000000000000e+00
3.412800000000e+06 0.000000000000e+00
3.499200000000e+06 0.000000000000e+00
3.585600000000e+06 0.000000000000e+00
3.672000000000e+06 0.000000000000e+00
3.758400000000e+06 0.000000000000e+00
3.844800000000e+06 0.000000000000e+00
3.931200000000e+06 0.000000000000e+00
4.017600000000e+06 0.000000000000e+00
4.104000000000e+06 0.000000000000e+00
4.190400000000e+06 0.000000000000e+00
4.276800000000e+06 0.000000000000e+00
4.363200000000e+06 0.000000000000e+00
4.449600000000e+06 0.000000000000e+00
4.536000000000e+06 0.000000000000e+00
4.622400000000e+06 0.000000000000e+00
4.708800000000e+06 0.000000000000e+00
4.795200000000e+06 0.000000000000e+00
4.881600000000e+06 0.000000000000e+00
4.968000000000e+06 0.000000000000e+00
5.054400000000e+06 0.000000000000e+00
5.140800000000e+06 0.000000000000e+00
5.227200000000e+06 0.000000000000e+00
5.313600000000e+06 0.000000000000e+00
5.400000000000e+06 0.000000000000e+00
5.486400000000e+06 0.000000000000e+00
5.572800000000e+06 0.000000000000e+00
5.659200000000e+06 0.000000000000e+00
5.745600000000e+06 0.000000000000e+00
5.832000000000e+06 0.000000000000e+00
5.918400000000e+06 0.000000000000e+00
6.004800000000e+06 0.000000000000e+00
6.091200000000e+06 0.000000000000e+00
6.177600000000e+06 0.000000000000e+00
6.264000000000e+06 0.000000000000e+00
6.350400000000e+06 0.000000000000e+00
6.436800000000e+06 0.000000000000e+00
6.523200000000e+06 0.000000000000e+00
6.609600000000e+06 0.000000000000e+00
6.696000000000e+06 0.000000000000e+00
6.782400000000e+06 0.000000000000e+00
6.868800000000e+06 0.000000000000e+00
6.955200000000e+06 0.000000000000e+00
7.041600000000e+06 0.000000000000e+00
7.128000000000e+06 0.000000000000e+00
7.214400000000e+06 0.000000000000e+00
7.300800000000e+06 0.000000000000e+00
7.387200000000e+06 0.000000000000e+00
7.473600000000e+06 0.000000000000e+00
7.560000000000e+06 0.000000000000e+00
7.646400000000e+06 0.000000000000e+00
7.732800000000e+06 0.000000000000e+00
7.819200000000e+06 0.000000000000e+00
7.905600000000e+06 0.000000000000e+00
7.992000000000e+06 0.000000000000e+00
8.078400000000e+06 0.000000000000e+00
8.164800000000e+06 0.000000000000e+00
8.251200000000e+06 0.000000000000e+00
8.337600000000e+06 0.000000000000e+00
8.424000000000e+06 0.000000000000e+00
8.510400000000e+06 0.000000000000e+00
8.596800000000e+06 0.000000000000e+00
8.683200000000e+06 0.000000000000e+00
8.769600000000e+06 0.000000000000e+00
8.856000000000e+06 0.000000000000e+00
8.942400000000e+06 0.000000000000e+00
9.028800000000e+06 0.000000000000e+00
9.115200000000e+06 0.000000000000e+00
9.201600000000e+06 0.000000000000e+00
9.288000000000e+06 0.000000000000e+00
9.374400000000e+06 0.000000000000e+00
9.460800000000e+06 0.000000000000e+00
9.547200000000e+06 0.000000000000e+00
9.633600000000e+06 0.000000000000e+00
9.720000000000e+06 0.000000000000e+00
9.806400000000e+06 0.000000000000e+00
9.892800000000e+06 0.000000000000e+00
9.979200000000e+06 0.000000000000e+00
1.006560000000e+07 0.000000000000e+00
1.015200000000e+07 0.000000000000e+00
1.023840000000e+07 0.000000000000e+00
1.032480000000e+07 0.000000000000e+00
1.041120000000e+07 0.000000000000e+00
1.049760000000e+07 0.000000000000e+00
1.058400000000e+07 0.000000000000e+00
1.067040000000e+07 0.000000000000e+00
1.075680000000e+07 0.000000000000e+00
1.084320000000e+07 0.000000000000e+00
1.092960000000e+07 0.000000000000e+00
1.101600000000e+07 0.000000000000e+00
1.110240000000e+07 0.000000000000e+00
1.118880000000e+07 0.000000000000e+00
1.127520000000e+07 0.000000000000e+00
1.136160000000e+07 0.000000000000e+00
1.144800000000e+07 0.000000000000e+00
1.153440000000e+07 0.000000000000e+00
1.162080000000e+07 0.000000000000e+00
1.170720000000e+07 0.000000000000e+00
1.179360000000e+07 0.000000000000e+00
1.188000000000e+07 0.000000000000e+00
1.196640000000e+07 0.000000000000e+00
1.205280000000e+07 0.000000000000e+00
1.213920000000e+07 0.000000000000e+00
1.222560000000e+07 0.000000000000e+00
1.231200000000e+07 0.000000000000e+00
1.239840000000e+07 0.000000000000e+00
1.248480000000e+07 0.000000000000e+00
1.257120000000e+07 0.000000000000e+00
1.265760000000e+07 0.000000000000e+00
1.274400000000e+07 0.000000000000e+00
1.283040000000e+07 0.000000000000e+00
1.291680000000e+07 0.000000000000e+00
1.296000000000e+07 0.000000000000e+00
