# Observation Name: ANONYMOUS->observations->ponded_depth
# Region: surface domain
# Functional: observation data: point
# Variable: surface-ponded_depth
# ===========================================================
#
0.0000000000000000e+00  1.0000000000000000e+00
8.6400000000000000e+04  9.0789445515849987e-01
1.7280000000000000e+05  8.2535859559863622e-01
2.5920000000000000e+05  7.5032599599876026e-01
3.4560000000000000e+05  6.8211454181705489e-01
4.3200000000000000e+05  6.2010412892459532e-01
5.1840000000000000e+05  5.6373102629508665e-01
6.0480000000000000e+05  5.1248275117735143e-01
6.9120000000000000e+05  4.6589341016122859e-01
7.7760000000000000e+05  4.2353946378293506e-01
8.6400000000000000e+05  3.8503587616630464e-01
9.5040000000000000e+05  3.5003261469664060e-01
1.0368000000000000e+06  3.1821146790603688e-01
1.1232000000000000e+06  2.8928315264185167e-01
1.2096000000000000e+06  2.6298468421986515e-01
1.2960000000000000e+06  2.3907698565442287e-01
1.3824000000000000e+06  2.1734271423129353e-01
1.4688000000000000e+06  1.9758428566481229e-01
1.5552000000000000e+06  1.7962207787710208e-01
1.6416000000000000e+06  1.6329279807009281e-01
1.7280000000000000e+06  1.4844799824553892e-01
1.8144000000000000e+06  1.3495272567776265e-01
1.9008000000000000e+06  1.2268429607069331e-01
1.9872000000000000e+06  1.1153117824608483e-01
2.0736000000000000e+06  1.0139198022371348e-01
2.1600000000000000e+06  9.2174527476103163e-02
2.2464000000000000e+06  8.3795024978275609e-02
2.3328000000000000e+06  7.6177295434796011e-02
2.4192000000000000e+06  6.9252086758905457e-02
2.5056000000000000e+06  6.2956442508095872e-02
2.5920000000000000e+06  5.7233129552814427e-02
