# Observation File: outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface-component_concentration
# Region: outlet
# Functional: point
# Variable: total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "subsurface-component_concentration"
3.660000000000e+03 1.000000000000e-17 1.000000000000e-17
3.720000000000e+03 1.000000000000e-17 1.000000000000e-17
3.780000000000e+03 1.000000000000e-17 1.000000000000e-17
3.840000000000e+03 1.000000000000e-17 1.000000000000e-17
3.900000000000e+03 1.000000000000e-17 1.000000000000e-17
3.960000000000e+03 1.000000000000e-17 1.000000000000e-17
4.020000000000e+03 1.000000000000e-17 1.000000000000e-17
4.080000000000e+03 1.000000000000e-17 1.000000000000e-17
4.140000000000e+03 1.000000000000e-17 1.000000000000e-17
4.200000000000e+03 1.000000000000e-17 1.000000000000e-17
4.260000000000e+03 1.000000000000e-17 1.000000000000e-17
4.320000000000e+03 1.000000000000e-17 1.000000000000e-17
4.380000000000e+03 1.000000000000e-17 1.000000000000e-17
4.440000000000e+03 1.000000000000e-17 1.000000000000e-17
4.500000000000e+03 1.000000000000e-17 1.000000000000e-17
4.560000000000e+03 1.000000000000e-17 1.000000000000e-17
4.620000000000e+03 1.000000000000e-17 1.000000000000e-17
4.680000000000e+03 1.000000000000e-17 1.000000000000e-17
4.740000000000e+03 1.000000000000e-17 1.000000000000e-17
4.800000000000e+03 1.000000000000e-17 1.000000000000e-17
4.860000000000e+03 1.000000000000e-17 1.000000000000e-17
4.920000000000e+03 1.000000000000e-17 1.000000000000e-17
4.980000000000e+03 1.000000000000e-17 1.000000000000e-17
5.040000000000e+03 1.000000000000e-17 1.000000000000e-17
5.100000000000e+03 1.000000000000e-17 1.000000000000e-17
5.160000000000e+03 1.000000000000e-17 1.000000000000e-17
5.220000000000e+03 1.000000000000e-17 1.000000000000e-17
5.280000000000e+03 1.000000000000e-17 1.000000000000e-17
5.340000000000e+03 1.000000000000e-17 1.000000000000e-17
5.400000000000e+03 1.000000000000e-17 1.000000000000e-17
5.460000000000e+03 1.000000000000e-17 1.000000000000e-17
5.520000000000e+03 1.000000000000e-17 1.000000000000e-17
5.580000000000e+03 1.000000000000e-17 1.000000000000e-17
5.640000000000e+03 1.000000000000e-17 1.000000000000e-17
5.700000000000e+03 1.000000000000e-17 1.000000000000e-17
5.760000000000e+03 1.000000000000e-17 1.000000000000e-17
5.820000000000e+03 1.000000000000e-17 1.000000000000e-17
5.880000000000e+03 1.000000000000e-17 1.000000000000e-17
5.940000000000e+03 1.000000000000e-17 1.000000000000e-17
6.000000000000e+03 1.000000000000e-17 1.000000000000e-17
6.060000000000e+03 1.000000000000e-17 1.000000000000e-17
6.120000000000e+03 1.000000000000e-17 1.000000000000e-17
6.180000000000e+03 1.000000000000e-17 1.000000000000e-17
6.240000000000e+03 1.000000000000e-17 1.000000000000e-17
6.300000000000e+03 1.000000000000e-17 1.000000000000e-17
6.360000000000e+03 1.000000000000e-17 1.000000000000e-17
6.420000000000e+03 1.000000000000e-17 1.000000000000e-17
6.480000000000e+03 1.000000000000e-17 1.000000000000e-17
6.540000000000e+03 1.000000000000e-17 1.000000000000e-17
6.600000000000e+03 1.000000000000e-17 1.000000000000e-17
6.660000000000e+03 1.000000000000e-17 1.000000000000e-17
6.720000000000e+03 1.000000000000e-17 1.000000000000e-17
6.780000000000e+03 1.000000000000e-17 1.000000000000e-17
6.840000000000e+03 1.000000000000e-17 1.000000000000e-17
6.900000000000e+03 1.000000000000e-17 1.000000000000e-17
6.960000000000e+03 1.000000000000e-17 1.000000000000e-17
7.020000000000e+03 1.000000000000e-17 1.000000000000e-17
7.080000000000e+03 1.000000000000e-17 1.000000000000e-17
7.140000000000e+03 1.000000000000e-17 1.000000000000e-17
7.200000000000e+03 1.000000000000e-17 1.000000000000e-17
7.260000000000e+03 1.000000000000e-17 1.000000000000e-17
7.320000000000e+03 1.000000000000e-17 1.000000000000e-17
7.380000000000e+03 1.000000000000e-17 1.000000000000e-17
7.440000000000e+03 1.000000000000e-17 1.000000000000e-17
7.500000000000e+03 1.000000000000e-17 1.000000000000e-17
7.560000000000e+03 1.000000000000e-17 1.000000000000e-17
7.620000000000e+03 1.000000000000e-17 1.000000000000e-17
7.680000000000e+03 1.000000000000e-17 1.000000000000e-17
7.740000000000e+03 1.000000000000e-17 1.000000000000e-17
7.800000000000e+03 1.000000000000e-17 1.000000000000e-17
7.860000000000e+03 1.000000000000e-17 1.000000000000e-17
7.920000000000e+03 1.000000000000e-17 1.000000000000e-17
7.980000000000e+03 1.000000000000e-17 1.000000000000e-17
8.040000000000e+03 1.000000000000e-17 1.000000000000e-17
8.100000000000e+03 1.000000000000e-17 1.000000000000e-17
8.160000000000e+03 1.000000000000e-17 1.000000000000e-17
8.220000000000e+03 1.000000000000e-17 1.000000000000e-17
8.280000000000e+03 1.000000000000e-17 1.000000000000e-17
8.340000000000e+03 1.000000000000e-17 1.000000000000e-17
8.400000000000e+03 1.000000000000e-17 1.000000000000e-17
8.460000000000e+03 3.751125692102e-14 1.408675588303e-13
8.520000000000e+03 3.629210657087e-14 4.937141313862e-13
8.580000000000e+03 3.599673338942e-14 1.208474732977e-12
8.640000000000e+03 3.626166364189e-14 2.805606131426e-12
8.700000000000e+03 3.690232125773e-14 6.380835415680e-12
8.760000000000e+03 3.769536814040e-14 1.436955858792e-11
8.820000000000e+03 3.901271418514e-14 3.213429292912e-11
8.880000000000e+03 4.174425768278e-14 7.189781985324e-11
8.940000000000e+03 4.506248145691e-14 1.608812917263e-10
9.000000000000e+03 5.278815209121e-14 3.599605014972e-10
9.060000000000e+03 6.960759852756e-14 8.052370148008e-10
9.120000000000e+03 1.049953894872e-13 1.800910325259e-09
9.180000000000e+03 1.780806983129e-13 4.026707027151e-09
9.240000000000e+03 3.274554142176e-13 9.001035485347e-09
9.300000000000e+03 6.309352943815e-13 2.011503391229e-08
9.360000000000e+03 1.245358620281e-12 4.494061284998e-08
9.420000000000e+03 2.486705843933e-12 1.003827272881e-07
9.480000000000e+03 4.991322452434e-12 2.241621887578e-07
9.540000000000e+03 1.004020655167e-11 5.004487754077e-07
9.600000000000e+03 2.021101925081e-11 1.116906296494e-06
9.660000000000e+03 4.068848227961e-11 2.492110943683e-06
9.720000000000e+03 8.189696381878e-11 5.559151166058e-06
9.780000000000e+03 1.647873203390e-10 1.239822227518e-05
9.840000000000e+03 3.314502650478e-10 2.765187131142e-05
9.900000000000e+03 6.664150631918e-10 6.163621845127e-05
9.960000000000e+03 1.339377248346e-09 1.374867033275e-04
1.002000000000e+04 2.690885101811e-09 3.059098114919e-04
1.008000000000e+04 5.404126500275e-09 6.824807609566e-04
1.014000000000e+04 1.084920228515e-08 1.515739763955e-03
1.020000000000e+04 2.177292859864e-08 3.386406347631e-03
1.026000000000e+04 4.368030194931e-08 7.513457334471e-03
1.032000000000e+04 8.760106578623e-08 1.673504982254e-02
1.038000000000e+04 1.756258932697e-07 3.881128341158e-02
1.044000000000e+04 3.519898123987e-07 8.376781797580e-02
1.050000000000e+04 7.052269550963e-07 1.596593380811e-01
1.056000000000e+04 1.412530949482e-06 2.763803727138e-01
1.062000000000e+04 2.828255108836e-06 4.458623203700e-01
1.068000000000e+04 5.661392373196e-06 6.821844465233e-01
1.074000000000e+04 1.132814405950e-05 1.001610172673e+00
1.080000000000e+04 2.266269490263e-05 1.422552545845e+00
1.086000000000e+04 4.531450563582e-05 1.965469251829e+00
1.092000000000e+04 9.060867281584e-05 2.652686482416e+00
1.098000000000e+04 1.810174950312e-04 3.508151826923e+00
1.104000000000e+04 3.618453240480e-04 4.557118519339e+00
1.110000000000e+04 7.219868342174e-04 5.825766048329e+00
1.116000000000e+04 1.443614975252e-03 7.340764780068e+00
1.122000000000e+04 2.874111725921e-03 9.128795011429e+00
1.128000000000e+04 5.758201079584e-03 1.121603413870e+01
