# Observation File: surface-potential_transpiration_mps.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-transpiration_mps
# Region: surface domain
# Functional: point
# Variable: surface-potential_transpiration_mps
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface-transpiration_mps"
0.000000000000e+00 2.109458643204e-07
8.640000000000e+04 2.109458643204e-07
1.728000000000e+05 2.109458643204e-07
2.592000000000e+05 2.109458643204e-07
3.456000000000e+05 2.109458643204e-07
4.320000000000e+05 2.109458643204e-07
5.184000000000e+05 2.109458643204e-07
6.048000000000e+05 2.109458643204e-07
6.912000000000e+05 2.109458643204e-07
7.776000000000e+05 2.109458643204e-07
8.640000000000e+05 2.109458643204e-07
9.504000000000e+05 2.109458643204e-07
1.036800000000e+06 2.109458643204e-07
1.123200000000e+06 2.109458643204e-07
1.209600000000e+06 2.109458643204e-07
1.296000000000e+06 2.109458643204e-07
1.382400000000e+06 2.109458643204e-07
1.468800000000e+06 2.109458643204e-07
1.555200000000e+06 2.109458643204e-07
1.641600000000e+06 2.109458643204e-07
1.728000000000e+06 2.109458643204e-07
1.814400000000e+06 2.109458643204e-07
1.900800000000e+06 2.109458643204e-07
1.987200000000e+06 2.109458643204e-07
2.073600000000e+06 2.109458643204e-07
2.160000000000e+06 2.109458643204e-07
2.246400000000e+06 2.109458643204e-07
2.332800000000e+06 2.109458643204e-07
2.419200000000e+06 2.109458643204e-07
2.505600000000e+06 2.109458643204e-07
2.592000000000e+06 2.109458643204e-07
