# Observation File: breakthrough_curve.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: observation point
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "surface-component_concentration Tracer1" "surface-component_concentration Tracer2"
1.812000000000e+04 9.999995018889e-01 9.999995018889e-01
1.824000000000e+04 9.999996223314e-01 9.999996223314e-01
1.836000000000e+04 9.999997139855e-01 9.999997139855e-01
1.848000000000e+04 9.999997836443e-01 9.999997836443e-01
1.860000000000e+04 9.999998365210e-01 9.999998365210e-01
1.872000000000e+04 9.999998766103e-01 9.999998766103e-01
1.884000000000e+04 9.999999069687e-01 9.999999069687e-01
1.896000000000e+04 9.999999299316e-01 9.999999299316e-01
1.908000000000e+04 9.999999472809e-01 9.999999472809e-01
1.920000000000e+04 9.999999603746e-01 9.999999603746e-01
1.932000000000e+04 9.999999702457e-01 9.999999702457e-01
1.944000000000e+04 9.999999776794e-01 9.999999776794e-01
1.956000000000e+04 9.999999832719e-01 9.999999832719e-01
1.968000000000e+04 9.999999874748e-01 9.999999874748e-01
1.980000000000e+04 9.999999906303e-01 9.999999906303e-01
1.992000000000e+04 9.999999929971e-01 9.999999929971e-01
2.004000000000e+04 9.999999947707e-01 9.999999947707e-01
2.016000000000e+04 9.999999960984e-01 9.999999960984e-01
2.028000000000e+04 9.999999970915e-01 9.999999970915e-01
2.040000000000e+04 9.999999978336e-01 9.999999978336e-01
2.052000000000e+04 9.999999983877e-01 9.999999983877e-01
2.064000000000e+04 9.999999988010e-01 9.999999988010e-01
2.076000000000e+04 9.999999991091e-01 9.999999991091e-01
2.088000000000e+04 9.999999993385e-01 9.999999993385e-01
2.100000000000e+04 9.999999995092e-01 9.999999995092e-01
2.112000000000e+04 9.999999996361e-01 9.999999996361e-01
2.124000000000e+04 9.999999997304e-01 9.999999997304e-01
2.136000000000e+04 9.999999998004e-01 9.999999998004e-01
2.148000000000e+04 9.999999998524e-01 9.999999998524e-01
2.160000000000e+04 9.999999998909e-01 9.999999998909e-01
2.172000000000e+04 9.999999999194e-01 9.999999999194e-01
2.184000000000e+04 9.999999999405e-01 9.999999999405e-01
2.196000000000e+04 9.999999999561e-01 9.999999999561e-01
2.208000000000e+04 9.999999999676e-01 9.999999999676e-01
2.220000000000e+04 9.999999999761e-01 9.999999999761e-01
